Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0","Temp:Pch_Skylake,0","Temp:Cpu,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0","Power:psys,0","Fan:thinkpad,0"
2024-08-03_09:03:08,80.0,75.0,72.0,72.0,74.0,75.0,42.0,39.9,39.9,39.9,58.5,80.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.4,15.1,0.1,0.9,24.6,4670
2024-08-03_09:03:10,79.0,76.0,72.0,72.0,74.0,75.0,43.0,39.9,39.9,39.9,58.5,79.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,14.6,12.5,0.0,0.9,21.5,4672
2024-08-03_09:03:12,78.0,75.0,72.0,72.0,74.0,75.0,42.0,39.9,39.9,39.9,58.5,78.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.7,12.5,0.0,0.9,21.6,4672
2024-08-03_09:03:14,76.0,74.0,72.0,72.0,74.0,74.0,42.0,39.9,39.9,39.9,58.5,76.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.8,12.6,0.0,0.9,21.6,4672
2024-08-03_09:03:17,75.0,75.0,72.0,72.0,74.0,75.0,43.0,39.9,39.9,39.9,58.0,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,99.5,100.0,100.0,100.0,99.5,100.0,14.8,12.7,0.0,0.9,21.6,4678
2024-08-03_09:03:19,75.0,75.0,72.0,72.0,74.0,75.0,42.0,39.9,39.9,40.9,58.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.6,0.1,0.9,21.8,4678
2024-08-03_09:03:21,75.0,75.0,72.0,72.0,74.0,75.0,42.0,39.9,39.9,40.9,58.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,99.9,99.5,100.0,100.0,100.0,99.5,100.0,100.0,100.0,14.9,12.6,0.1,1.0,21.8,4680
2024-08-03_09:03:23,75.0,76.0,73.0,72.0,75.0,76.0,42.0,39.9,39.9,40.9,58.5,75.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.8,0.0,0.9,21.7,4680
2024-08-03_09:03:25,75.0,74.0,72.0,72.0,74.0,75.0,43.0,39.9,39.9,40.9,58.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.8,12.7,0.0,0.9,21.8,4680
2024-08-03_09:03:27,75.0,75.0,72.0,72.0,75.0,75.0,44.0,39.9,39.9,40.9,58.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.7,0.0,0.9,21.9,4680
2024-08-03_09:03:29,74.0,75.0,72.0,72.0,74.0,75.0,44.0,39.9,39.9,39.9,58.5,74.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.7,0.0,0.9,21.8,4680
2024-08-03_09:03:31,74.0,75.0,72.0,72.0,73.0,74.0,42.0,39.9,39.9,39.9,58.5,74.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.7,0.1,1.1,22.1,4680
2024-08-03_09:03:34,74.0,75.0,72.0,72.0,74.0,75.0,43.0,39.9,39.9,41.9,58.5,74.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,100.0,100.0,14.9,12.3,0.2,1.3,22.5,4680
2024-08-03_09:03:36,74.0,76.0,72.0,72.0,74.0,76.0,43.0,39.9,39.9,40.9,58.5,74.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.8,12.5,0.1,1.2,22.0,4683
2024-08-03_09:03:38,75.0,76.0,72.0,72.0,75.0,76.0,43.0,39.9,39.9,41.9,58.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.7,0.0,0.9,22.1,4681
2024-08-03_09:03:40,75.0,76.0,73.0,72.0,75.0,76.0,43.0,39.9,39.9,40.9,58.5,75.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,99.5,100.0,14.9,12.8,0.0,1.0,21.8,4680
2024-08-03_09:03:42,75.0,76.0,73.0,73.0,75.0,76.0,43.0,39.9,39.9,40.9,58.5,75.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.7,0.0,1.0,21.9,4680
2024-08-03_09:03:44,75.0,76.0,74.0,73.0,75.0,76.0,43.0,39.9,39.9,40.9,59.0,75.0,2309.8,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.7,0.0,1.0,22.0,4687
2024-08-03_09:03:46,75.0,76.0,72.0,72.0,75.0,76.0,43.0,39.9,39.9,40.9,58.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.7,0.1,0.9,21.9,4680
2024-08-03_09:03:48,75.0,76.0,73.0,74.0,75.0,76.0,46.0,39.9,39.9,41.9,59.0,75.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.7,0.1,1.0,21.8,4687
2024-08-03_09:03:51,75.0,76.0,73.0,72.0,75.0,76.0,43.0,39.9,39.9,40.9,58.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,99.9,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.7,0.1,1.0,21.8,4687
2024-08-03_09:03:53,75.0,76.0,73.0,73.0,75.0,76.0,43.0,39.9,39.9,39.9,59.0,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.8,0.1,1.0,21.8,4683
2024-08-03_09:03:55,75.0,76.0,74.0,74.0,76.0,76.0,43.0,39.9,39.9,41.9,59.5,75.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.7,0.1,0.9,21.8,4688
2024-08-03_09:03:57,75.0,76.0,74.0,73.0,76.0,76.0,43.0,39.9,39.9,41.9,59.5,75.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.7,0.0,1.0,21.9,4685
2024-08-03_09:03:59,76.0,76.0,72.0,73.0,75.0,76.0,43.0,39.9,39.9,40.9,59.0,76.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,99.1,100.0,14.9,12.8,0.0,0.9,21.7,4687
2024-08-03_09:04:01,76.0,77.0,74.0,74.0,76.0,77.0,43.0,39.9,39.9,40.9,59.0,76.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.8,0.0,0.9,21.7,4685
2024-08-03_09:04:03,76.0,76.0,73.0,73.0,75.0,76.0,43.0,39.9,39.9,41.9,59.5,76.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.7,0.0,0.9,22.0,4692
2024-08-03_09:04:06,76.0,76.0,74.0,73.0,75.0,76.0,46.0,39.9,39.9,41.9,59.5,76.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,12.7,0.0,0.9,21.7,4694
2024-08-03_09:04:08,76.0,77.0,74.0,74.0,75.0,77.0,43.0,39.9,39.9,40.9,59.5,76.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.8,0.0,0.9,21.8,4692
2024-08-03_09:04:10,76.0,76.0,74.0,73.0,75.0,77.0,46.0,39.9,39.9,41.9,59.5,76.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,12.8,0.0,0.9,21.8,4694
